Finland - Czech Republic,4:2,,,,15.12.2016
Sweden - Russia,3:1,,,,15.12.2016
Finland - Sweden,1:2 pen.,3,4.5,2.2,20.12.2015
Russia - Czech Republic,2:4,1.4,7.11,7,20.12.2015
Finland - Russia,1:8,4.75,5.01,1.62,19.12.2015
Sweden - Czech Republic,1:3,1.7,5.14,4.5,19.12.2015
Czech Republic - Finland,0:3,2.45,4.33,2.6,17.12.2015
Russia - Sweden,1:4,1.63,5.62,4.6,17.12.2015
Finland - Sweden,3:2 pen.,3.01,4.2,2.4,21.12.2014
Russia - Czech Republic,3:2,1.46,5.5,6.25,21.12.2014
Finland - Czech Republic,3:2 pen.,2.05,4.3,3.6,20.12.2014
Sweden - Russia,2:3,4.75,5,1.72,20.12.2014
Czech Republic - Sweden,4:6,2.5,4.25,2.7,18.12.2014
Russia - Finland,2:0,1.63,4.85,5,18.12.2014
Finland - Sweden,4:2,2.8,4.45,2.65,22.12.2013
Russia - Czech Republic,1:2,1.5,5.7,6.5,22.12.2013
Czech Republic - Sweden,2:1 pen.,2.95,4.3,2.2,21.12.2013
Russia - Finland,2:3,1.4,6.5,7.5,21.12.2013
Czech Republic - Finland,2:0,2.3,4.25,2.83,19.12.2013
Sweden - Russia,2:3,6.6,6.11,1.4,19.12.2013
Czech Republic - Sweden,0:4,2.65,4.34,2.47,16.12.2012
Russia - Finland,3:1,1.2,10,12.5,16.12.2012
Finland - Sweden,1:4,2.89,4.5,2.2,15.12.2012
Russia - Czech Republic,6:0,1.4,6.63,7.03,15.12.2012
Finland - Czech Republic,3:2,2.91,4.55,2.1,13.12.2012
Sweden - Russia,1:5,6.66,6.35,1.45,13.12.2012
Russia - Czech Republic,3:4 pen.,1.62,4.75,5,18.12.2011
Sweden - Finland,3:4,1.7,4.96,4.2,18.12.2011
Czech Republic - Finland,5:1,2.2,4.5,3.01,17.12.2011
Russia - Sweden,2:4,1.6,5,5.25,17.12.2011
Czech Republic - Sweden,1:2,2.1,4.58,3.15,15.12.2011
Finland - Russia,0:3,5.94,5.68,1.5,15.12.2011
Czech Republic - Sweden,4:1,2.9,4.5,2.25,19.12.2010
Russia - Finland,6:2,1.41,6.2,6.5,19.12.2010
Finland - Sweden,1:6,2.57,4.3,2.5,18.12.2010
Russia - Czech Republic,3:1,1.55,5.92,6.23,18.12.2010
Finland - Czech Republic,2:3 pen.,2,4.55,3.1,16.12.2010
Sweden - Russia,3:5,5.09,5,1.65,16.12.2010
Finland - Sweden,4:3 pen.,2.45,4.3,2.48,20.12.2009
Russia - Czech Republic,4:3 pen.,1.55,4.8,5,20.12.2009
Czech Republic - Sweden,3:4 ET,2.29,4.5,2.75,19.12.2009
Russia - Finland,2:3,1.45,5.09,6,19.12.2009
Czech Republic - Finland,2:1 ET,1.85,4.7,3.35,17.12.2009
Sweden - Russia,3:4,6,5.09,1.55,17.12.2009
Czech Republic - Finland,2:5,1.95,4.5,3.05,21.12.2008
Russia - Sweden,6:2,1.4,5.5,6.5,21.12.2008
Russia - Czech Republic,5:2,1.73,5.2,4.9,20.12.2008
Sweden - Finland,1:2 pen.,3.5,4.3,3.8,20.12.2008
Finland - Russia,1:4,6.25,5.25,1.8,18.12.2008
Sweden - Czech Republic,2:6,3.1,4.45,2.95,18.12.2008
Russia - Czech Republic,5:1,,,,16.12.2007
Sweden - Finland,2:3,,,,16.12.2007
Czech Republic - Finland,5:6 pen.,,,,15.12.2007
Russia - Sweden,2:0,,,,15.12.2007
Czech Republic - Sweden,5:4,,,,13.12.2007
Finland - Russia,1:4,,,,13.12.2007
Finland - Sweden,2:1,3,4.4,2.1,17.12.2006
Russia - Czech Republic,4:1,1.6,4.5,4.7,17.12.2006
Finland - Russia,0:3,3.85,4.4,1.7,16.12.2006
Sweden - Czech Republic,7:5,2.29,4.3,2.75,16.12.2006
Finland - Czech Republic,3:2,2.1,4.4,3,14.12.2006
Russia - Sweden,0:1 pen.,1.8,4.59,3.8,14.12.2006
Russia - Czech Republic,3:1,1.9,4.65,3.5,18.12.2005
Sweden - Finland,1:2,2.45,4.2,2.38,18.12.2005
Czech Republic - Sweden,0:1 ET,2.35,4.05,2.35,17.12.2005
Russia - Finland,2:0,1.75,4.25,3.45,17.12.2005
Czech Republic - Finland,2:3 pen.,1.9,4.3,3.4,15.12.2005
Russia - Sweden,3:1,1.9,4.3,3.75,15.12.2005
Finland - Sweden,3:0,2.25,4.3,2.6,19.12.2004
Russia - Czech Republic,1:0,1.9,4.59,3.2,19.12.2004
Finland - Czech Republic,5:4 ET,2.5,4.4,2.4,18.12.2004
Russia - Sweden,4:1,2,4.5,3.45,18.12.2004
Czech Republic - Sweden,4:3 pen.,,,,16.12.2004
Russia - Finland,2:1,,,,16.12.2004
Finland - Sweden,2:1,,,,21.12.2003
Russia - Czech Republic,3:2 pen.,,,,21.12.2003
Finland - Czech Republic,1:5,,,,20.12.2003
Russia - Sweden,2:1 pen.,,,,20.12.2003
Russia - Finland,1:3,,,,18.12.2003
Sweden - Czech Republic,3:2 pen.,,,,18.12.2003
