Atlant Mytishi - Metallurg Magnitogorsk,4:1,2.29,4.33,2.54,07.03.2010
Avangard Omsk - Din. Minsk,2:3,1.35,6,7.5,07.03.2010
Barys Astana - Dyn. Moscow,5:2,2.8,4.34,2.15,07.03.2010
Cherepovets - Tractor Chelyabinsk,3:1,2.29,4.4,2.8,07.03.2010
CSKA Moscow - Amur Khabarovsk,4:0,1.53,5.4,5.71,07.03.2010
Lokomotiv Yaroslavl - Bars Kazan,4:1,2.25,4.3,2.7,07.03.2010
MVD Balashikha - Lada,3:2 ET,1.3,6.5,8.5,07.03.2010
Nizhny Novgorod - Metallurg Novokuznetsk,4:2,1.75,4.55,4,07.03.2010
Podolsk - Sibir Novosibirsk,5:2,3.4,4.4,2,07.03.2010
Salavat Ufa - Dinamo Riga,6:4,1.5,5.2,5.5,07.03.2010
SKA St. Petersburg - Yekaterinburg,1:2,1.5,5.3,5.71,07.03.2010
Sp. Moscow - Niznekamsk,2:3,2,4.4,3.14,07.03.2010
Atlant Mytishi - Tractor Chelyabinsk,3:1,1.55,5.2,5.25,05.03.2010
Avangard Omsk - Dyn. Moscow,2:3 pen.,2.1,4.5,3,05.03.2010
Barys Astana - Dinamo Riga,3:5,2.2,4.5,2.8,05.03.2010
Cherepovets - Yekaterinburg,2:3,2.04,4.5,3.2,05.03.2010
CSKA Moscow - Sibir Novosibirsk,4:2,1.65,4.9,5,05.03.2010
Lokomotiv Yaroslavl - Niznekamsk,0:2,1.65,4.9,4.5,05.03.2010
MVD Balashikha - Bars Kazan,2:3 pen.,2.65,4.25,2.4,05.03.2010
Nizhny Novgorod - Amur Khabarovsk,2:4,1.65,4.9,5,05.03.2010
Podolsk - Metallurg Novokuznetsk,2:1,2.15,4.5,2.9,05.03.2010
Salavat Ufa - Din. Minsk,4:1,1.26,7,9.5,05.03.2010
SKA St. Petersburg - Metallurg Magnitogorsk,3:2,2.04,4.45,3,05.03.2010
Sp. Moscow - Lada,6:2,1.33,7,8.5,05.03.2010
Atlant Mytishi - Yekaterinburg,3:2 pen.,1.47,5.5,6,03.03.2010
Avangard Omsk - Dinamo Riga,3:5,1.7,4.7,4.5,03.03.2010
Barys Astana - Din. Minsk,5:3,1.6,4.84,5,03.03.2010
Cherepovets - Metallurg Magnitogorsk,1:2,2.92,4.5,2.15,03.03.2010
CSKA Moscow - Metallurg Novokuznetsk,1:3,1.45,5.5,6,03.03.2010
Lokomotiv Yaroslavl - Lada,5:2,1.25,8,10.5,03.03.2010
MVD Balashikha - Niznekamsk,3:2,1.9,4.45,3.6,03.03.2010
Nizhny Novgorod - Sibir Novosibirsk,1:4,1.8,4.5,3.95,03.03.2010
Podolsk - Amur Khabarovsk,2:1,2.5,4.4,2.4,03.03.2010
Salavat Ufa - Dyn. Moscow,3:0,1.72,4.8,4.3,03.03.2010
SKA St. Petersburg - Tractor Chelyabinsk,7:5,1.45,5.5,6.35,03.03.2010
Sp. Moscow - Bars Kazan,1:3,3,4.3,2.15,03.03.2010
Amur Khabarovsk - SKA St. Petersburg,3:8,4.2,4.59,1.75,07.02.2010
Bars Kazan - Salavat Ufa,1:4,2.5,4.25,2.47,07.02.2010
Dinamo Riga - CSKA Moscow,1:2 pen.,2.27,4.2,2.9,07.02.2010
Din. Minsk - Podolsk,5:1,1.65,4.8,4.9,07.02.2010
Dyn. Moscow - Nizhny Novgorod,4:3 ET,1.85,4.7,3.55,07.02.2010
Lada - Avangard Omsk,3:2 pen.,5.25,5.05,1.55,07.02.2010
Metallurg Novokuznetsk - Cherepovets,1:3,2.7,4.3,2.35,07.02.2010
Niznekamsk - Barys Astana,4:2,1.85,4.65,3.6,07.02.2010
Sibir Novosibirsk - Atlant Mytishi,3:7,2.73,4.3,2.35,07.02.2010
Sp. Moscow - MVD Balashikha,2:8,2.2,4.3,2.75,07.02.2010
Yekaterinburg - Tractor Chelyabinsk,6:2,2.42,4.3,2.4,07.02.2010
Amur Khabarovsk - Cherepovets,4:3 pen.,2.5,4.3,2.5,05.02.2010
Bars Kazan - Avangard Omsk,3:1,1.95,4.4,3.5,05.02.2010
Dinamo Riga - Nizhny Novgorod,3:2 pen.,1.95,4.55,3.4,05.02.2010
Din. Minsk - CSKA Moscow,2:4,2.73,4.4,2.35,05.02.2010
Dyn. Moscow - Podolsk,8:3,1.33,6,8,05.02.2010
Lada - Barys Astana,1:2,3.95,4.7,1.75,05.02.2010
Metallurg Magnitogorsk - Yekaterinburg,3:0,1.35,6,7.5,05.02.2010
Metallurg Novokuznetsk - Atlant Mytishi,0:1,,,,05.02.2010
MVD Balashikha - Lokomotiv Yaroslavl,3:0,2.5,4.21,2.45,05.02.2010
Niznekamsk - Salavat Ufa,0:2,3.5,4.5,1.91,05.02.2010
Sibir Novosibirsk - SKA St. Petersburg,3:0,4.15,4.59,1.75,05.02.2010
Amur Khabarovsk - Atlant Mytishi,3:4 ET,3.14,4.3,2.04,03.02.2010
Bars Kazan - Barys Astana,4:1,1.52,5.25,5.71,03.02.2010
Dinamo Riga - Podolsk,3:1,1.5,5.55,6,03.02.2010
Din. Minsk - Nizhny Novgorod,2:4,2.45,4.4,2.65,03.02.2010
Lada - Salavat Ufa,2:5,6.25,5.85,1.45,03.02.2010
Lokomotiv Yaroslavl - Sp. Moscow,1:3,1.8,4.5,3.9,03.02.2010
Metallurg Novokuznetsk - SKA St. Petersburg,2:3 pen.,4.95,5.09,1.65,03.02.2010
Niznekamsk - Avangard Omsk,1:2 pen.,2.75,4.3,2.35,03.02.2010
Sibir Novosibirsk - Cherepovets,3:4,2.29,4.3,2.8,03.02.2010
Tractor Chelyabinsk - Metallurg Magnitogorsk,2:5,3.97,4.55,1.8,03.02.2010
Dyn. Moscow - CSKA Moscow,3:2,2,4.33,3.2,02.02.2010
Atlant Mytishi - MVD Balashikha,2:0,2,4.34,3.43,01.02.2010
Avangard Omsk - Salavat Ufa,1:3,2.85,4.3,2.31,01.02.2010
Dinamo Riga - Din. Minsk,5:4,1.75,4.7,3.95,01.02.2010
Lokomotiv Yaroslavl - Cherepovets,5:2,1.65,4.8,4.65,01.02.2010
Metallurg Novokuznetsk - Sibir Novosibirsk,2:3,2.35,4.25,2.52,01.02.2010
Niznekamsk - Bars Kazan,3:1,3,4.3,2.04,01.02.2010
Podolsk - Nizhny Novgorod,1:0,3.45,4.75,1.85,01.02.2010
Sp. Moscow - SKA St. Petersburg,5:4 pen.,3.1,4.4,2.1,01.02.2010
Tractor Chelyabinsk - Yekaterinburg,4:1,1.85,4.55,3.55,01.02.2010
