Anaheim Ducks - Edmonton Oilers,7:2,1.8,4.5,4.09,12.04.2010
Florida Panthers - Tampa Bay Lightning,1:3,2.1,4.5,3.2,12.04.2010
New Jersey Devils - Buffalo Sabres,2:1,1.9,4.5,3.7,12.04.2010
New York Islanders - Pittsburgh Penguins,5:6 ET,3,4.5,2.15,12.04.2010
Chicago Blackhawks - Detroit Red Wings,2:3 ET,2,4.5,3.7,11.04.2010
Colorado Avalanche - Los Angeles Kings,1:2 ET,2.45,4.2,2.7,11.04.2010
Minnesota Wild - Dallas Stars,3:4 pen.,2.45,4.33,2.6,11.04.2010
Montreal Canadiens - Toronto Maple Leafs,3:4 ET,1.9,4.5,3.8,11.04.2010
Nashville Predators - St.Louis Blues,2:1 pen.,1.95,4.33,3.35,11.04.2010
New Jersey Devils - New York Islanders,7:1,1.75,4.75,4.3,11.04.2010
Ottawa Senators - Buffalo Sabres,2:5,2.29,4.2,2.85,11.04.2010
Philadelphia Flyers - New York Rangers,2:1 pen.,2.29,4.2,2.95,11.04.2010
San Jose Sharks - Arizona Coyotes,3:2 pen.,1.9,4.4,3.8,11.04.2010
Tampa Bay Lightning - Florida Panthers,4:3 pen.,2.25,4.25,2.9,11.04.2010
Vancouver Canucks - Calgary Flames,7:3,2,4.5,3.39,11.04.2010
Washington Capitals - Boston Bruins,3:4 pen.,1.8,5,4.2,11.04.2010
Winnipeg Jets - Pittsburgh Penguins,1:0,3.6,4.59,1.9,11.04.2010
Boston Bruins - Carolina Hurricanes,4:2,1.95,4.33,3.65,10.04.2010
Colorado Avalanche - Chicago Blackhawks,2:5,3,4.33,2.1,10.04.2010
Columbus Blue Jackets - Detroit Red Wings,0:1 pen.,2.8,4.2,2.29,10.04.2010
Los Angeles Kings - Edmonton Oilers,3:4 pen.,1.7,4.75,4.5,10.04.2010
New York Rangers - Philadelphia Flyers,4:3,2.15,4.25,2.95,10.04.2010
St.Louis Blues - Anaheim Ducks,6:3,1.85,4.4,3.75,10.04.2010
Washington Capitals - Winnipeg Jets,5:2,1.67,4.75,4.5,10.04.2010
Boston Bruins - Buffalo Sabres,3:1,1.95,4.3,3.45,09.04.2010
Calgary Flames - Minnesota Wild,1:2 pen.,2,4.2,3.7,09.04.2010
Carolina Hurricanes - Montreal Canadiens,5:2,2.54,4.2,2.5,09.04.2010
Dallas Stars - Anaheim Ducks,3:2 pen.,2,4.3,3.5,09.04.2010
Florida Panthers - New Jersey Devils,3:2,3.6,4.3,1.95,09.04.2010
