Hameenlinna - IFK Helsinki,3:1,1.82,4.1,3.49,13.03.2014
Ilves - Lukko,1:4,2.11,4.01,2.77,13.03.2014
Jokerit - Karpat,1:5,2.13,3.96,2.78,13.03.2014
Jyvaskyla - Espoo,2:1,1.98,3.98,3.06,13.03.2014
KalPa - Tappara,3:4 pen.,4.38,4.41,1.59,13.03.2014
Pelicans - Assat,6:2,1.37,5.17,6.35,13.03.2014
SaiPa - TPS Turku,6:0,1.33,5.67,6.42,13.03.2014
Assat - Jokerit,2:7,4.41,4.4,1.6,11.03.2014
Espoo - KalPa,2:1,1.32,5.52,7.18,11.03.2014
IFK Helsinki - Jyvaskyla,6:1,2.3,3.86,2.57,11.03.2014
Karpat - Ilves,4:3,1.59,4.35,4.51,11.03.2014
Lukko - Hameenlinna,0:4,1.84,4.05,3.43,11.03.2014
Tappara - SaiPa,0:1,1.97,3.99,3.09,11.03.2014
TPS Turku - Pelicans,3:4,3.29,4.09,1.88,11.03.2014
Hameenlinna - Tappara,4:1,2.88,3.92,2.08,08.03.2014
Ilves - Espoo,2:4,2.23,3.88,2.66,08.03.2014
KalPa - TPS Turku,1:2,2.3,3.94,2.52,08.03.2014
Karpat - Pelicans,4:0,1.71,4.24,3.86,08.03.2014
Lukko - Assat,3:0,1.45,4.62,5.68,08.03.2014
SaiPa - Jyvaskyla,2:3 ET,2.05,3.96,2.92,08.03.2014
Jyvaskyla - Karpat,1:0,2.63,3.88,2.25,07.03.2014
IFK Helsinki - Ilves,2:1,1.99,4.01,3.05,06.03.2014
Pelicans - KalPa,4:2,1.37,5.11,6.29,06.03.2014
Tappara - Jokerit,3:4 pen.,1.91,4,3.25,06.03.2014
TPS Turku - Hameenlinna,2:3,2.77,3.96,2.13,06.03.2014
Assat - SaiPa,1:0,3.2,4.08,1.9,05.03.2014
Jokerit - Pelicans,2:3 pen.,1.77,4.08,3.69,05.03.2014
Hameenlinna - Jyvaskyla,4:2,2.63,3.87,2.24,04.03.2014
IFK Helsinki - KalPa,3:4 pen.,1.31,5.58,7.24,04.03.2014
Ilves - TPS Turku,4:2,1.55,4.42,4.67,04.03.2014
Lukko - SaiPa,2:5,1.93,3.94,3.19,04.03.2014
Espoo - Assat,2:0,1.62,4.28,4.31,03.03.2014
Hameenlinna - Ilves,4:2,2.47,3.91,2.36,01.03.2014
Jokerit - IFK Helsinki,1:2,1.88,4.01,3.31,01.03.2014
KalPa - Tappara,2:3,5.99,4.76,1.41,01.03.2014
Karpat - Espoo,5:2,1.59,4.33,4.44,01.03.2014
TPS Turku - Lukko,4:2,4.03,4.16,1.68,01.03.2014
Espoo - Karpat,2:1,2.99,3.95,2.01,28.02.2014
Pelicans - Hameenlinna,1:2 pen.,1.8,4.06,3.54,28.02.2014
SaiPa - KalPa,4:0,1.38,5.02,6.31,28.02.2014
Tappara - Assat,3:0,1.38,5.02,6.3,28.02.2014
Assat - IFK Helsinki,3:0,2.71,3.91,2.18,27.02.2014
Jyvaskyla - Jokerit,0:3,2.18,3.91,2.71,27.02.2014
IFK Helsinki - Karpat,0:1,2.78,3.99,2.11,26.02.2014
Jokerit - TPS Turku,5:2,1.36,5.34,6.22,26.02.2014
Assat - Jyvaskyla,1:2 ET,3.24,4.04,1.89,25.02.2014
Ilves - Pelicans,3:2 pen.,2.02,3.97,2.97,25.02.2014
KalPa - Hameenlinna,0:4,2.36,3.91,2.47,25.02.2014
Lukko - Espoo,3:0,1.81,4.12,3.52,25.02.2014
SaiPa - Karpat,0:3,2.66,3.92,2.2,25.02.2014
Assat - Karpat,1:4,3.67,4.16,1.76,15.02.2014
Jokerit - Ilves,2:4,1.58,4.32,4.54,15.02.2014
Jyvaskyla - Lukko,1:6,2.1,3.92,2.84,15.02.2014
KalPa - Espoo,1:2,3.95,4.12,1.7,15.02.2014
