Kunlun - Yekaterinburg,4:3 ET,1.85,4.15,3.49,17.12.2016
Vladivostok - Niznekamsk,7:5,2.12,4.11,2.84,17.12.2016
Amur Khabarovsk - Yekaterinburg,2:5,2.09,3.79,3.05,15.12.2016
Niznekamsk - Bars Kazan,1:2,2.82,3.82,2.19,13.12.2016
Kunlun - Barys Astana,5:1,2.03,4.16,2.95,12.12.2016
Din. Minsk - Medvescak Zagreb,6:2,1.72,4.38,3.82,11.12.2016
HC Yugra - Yekaterinburg,0:1,2.32,3.87,2.62,11.12.2016
Cherepovets - Podolsk,3:4 ET,2.19,3.95,2.76,10.12.2016
Dinamo Riga - Slovan Bratislava,3:2,2.35,3.8,2.61,10.12.2016
Dyn. Moscow - Lokomotiv Yaroslavl,6:3,2.39,3.67,2.62,10.12.2016
Metallurg Magnitogorsk - Kunlun,4:2,1.53,4.83,4.78,10.12.2016
Nizhny Novgorod - Bars Kazan,2:0,2.39,3.73,2.6,10.12.2016
Salavat Ufa - Amur Khabarovsk,4:3 ET,1.58,4.51,4.65,10.12.2016
Sochi - Niznekamsk,0:5,1.97,4.02,3.19,10.12.2016
Sp. Moscow - Lada,2:3 ET,1.76,4.22,3.78,10.12.2016
Tractor Chelyabinsk - Vladivostok,4:1,2.03,3.92,3.09,10.12.2016
HC Yugra - Barys Astana,2:4,2.44,3.91,2.47,09.12.2016
Metallurg Novokuznetsk - Avangard Omsk,2:3 pen.,6.26,5.26,1.39,09.12.2016
Cherepovets - Lokomotiv Yaroslavl,3:2,3.85,4.06,1.77,08.12.2016
CSKA Moscow - Podolsk,5:2,1.33,5.58,7.33,08.12.2016
Dinamo Riga - Medvescak Zagreb,0:4,2.29,3.89,2.64,08.12.2016
Jokerit - Slovan Bratislava,1:3,1.5,4.87,4.95,08.12.2016
Metallurg Magnitogorsk - Vladivostok,5:3,1.58,4.64,4.48,08.12.2016
Nizhny Novgorod - Lada,2:1 pen.,1.54,4.68,4.82,08.12.2016
Salavat Ufa - Kunlun,4:5 pen.,1.66,4.41,4.16,08.12.2016
SKA St. Petersburg - Dyn. Moscow,2:1 pen.,1.38,5.29,6.27,08.12.2016
Sochi - Bars Kazan,1:2,2.79,3.9,2.18,08.12.2016
Sp. Moscow - Niznekamsk,3:1,2.1,3.99,2.89,08.12.2016
Tractor Chelyabinsk - Amur Khabarovsk,3:1,1.83,3.86,3.8,08.12.2016
Sibir Novosibirsk - Avangard Omsk,1:3,3.13,3.91,2.02,07.12.2016
Yekaterinburg - Barys Astana,3:4,2.25,4.16,2.59,07.12.2016
Din. Minsk - Slovan Bratislava,4:1,1.57,4.73,4.48,06.12.2016
Jokerit - Medvescak Zagreb,4:3 ET,1.62,4.51,4.28,06.12.2016
Nizhny Novgorod - Niznekamsk,4:2,1.71,4.31,3.96,06.12.2016
Sochi - Lada,2:1,1.63,4.6,4.21,06.12.2016
Sp. Moscow - Bars Kazan,1:0,3.06,4.01,2.01,06.12.2016
Amur Khabarovsk - Cherepovets,4:2,2.23,3.83,2.75,05.12.2016
Kunlun - CSKA Moscow,0:2,4.14,4.07,1.71,05.12.2016
Sibir Novosibirsk - Metallurg Novokuznetsk,1:2,1.38,5.35,6.36,05.12.2016
Vladivostok - SKA St. Petersburg,1:4,5.07,4.98,1.48,05.12.2016
Dinamo Riga - Tractor Chelyabinsk,2:4,2.88,3.73,2.19,04.12.2016
Din. Minsk - Metallurg Magnitogorsk,2:4,2.76,4.15,2.14,04.12.2016
Dyn. Moscow - Yekaterinburg,4:1,1.58,4.42,4.77,04.12.2016
Jokerit - Salavat Ufa,2:1 pen.,2.36,4,2.51,04.12.2016
Lokomotiv Yaroslavl - Barys Astana,7:1,1.59,4.48,4.59,04.12.2016
Podolsk - HC Yugra,2:3,1.79,4.1,3.7,04.12.2016
Amur Khabarovsk - SKA St. Petersburg,1:2,7.45,6.27,1.29,03.12.2016
Bars Kazan - Sp. Moscow,3:2,1.53,4.55,5.08,03.12.2016
Kunlun - Cherepovets,2:0,2,3.88,3.21,03.12.2016
Lada - Nizhny Novgorod,1:2 pen.,3.23,4.01,1.96,03.12.2016
Niznekamsk - Sochi,5:1,2.34,3.95,2.57,03.12.2016
Slovan Bratislava - Avangard Omsk,3:5,3.36,4.1,1.89,03.12.2016
Vladivostok - CSKA Moscow,2:3,3.81,4.15,1.77,03.12.2016
Dinamo Riga - Metallurg Magnitogorsk,4:3 pen.,4.01,4.24,1.71,02.12.2016
Din. Minsk - Salavat Ufa,2:3 pen.,2.33,4.09,2.52,02.12.2016
Dyn. Moscow - HC Yugra,6:0,1.51,4.59,5.31,02.12.2016
Lokomotiv Yaroslavl - Yekaterinburg,5:3,1.51,4.69,5.16,02.12.2016
Podolsk - Barys Astana,4:2,2.12,4.13,2.8,02.12.2016
Slovan Bratislava - Metallurg Novokuznetsk,4:5 pen.,1.51,4.76,5,02.12.2016
Amur Khabarovsk - CSKA Moscow,1:2,4.88,4.43,1.56,01.12.2016
Bars Kazan - Sochi,1:3,1.63,4.43,4.42,01.12.2016
Jokerit - Tractor Chelyabinsk,2:1 ET,1.88,3.97,3.45,01.12.2016
Kunlun - SKA St. Petersburg,3:5,6.65,5.62,1.35,01.12.2016
Lada - Sp. Moscow,3:1,2.4,3.95,2.48,01.12.2016
Medvescak Zagreb - Avangard Omsk,1:4,3.67,4.12,1.81,01.12.2016
Niznekamsk - Nizhny Novgorod,6:5 ET,2.5,3.85,2.43,01.12.2016
Vladivostok - Cherepovets,2:1,1.76,4.31,3.69,01.12.2016
Dinamo Riga - Salavat Ufa,0:3,3.06,4.04,2.01,30.11.2016
Dyn. Moscow - Barys Astana,3:0,1.66,4.36,4.16,30.11.2016
Lokomotiv Yaroslavl - HC Yugra,1:0,1.4,5.06,6.18,30.11.2016
Medvescak Zagreb - Metallurg Novokuznetsk,2:3,1.49,4.81,5.25,30.11.2016
