Espoo United - IPK,2:3 ET,1.76,5.05,3.64,16.12.2016
KeuPa - SaPKo,3:4,3,4.7,2.1,16.12.2016
LeKi - Jokipojat,2:1,2.52,4.59,2.35,16.12.2016
Peliitat - RoKi,4:2,1.65,4.8,3.65,16.12.2016
Espoo United - SaPKo,2:5,2.85,4.67,2.15,14.12.2016
IPK - KeuPa,2:5,2.4,4.66,2.5,14.12.2016
JYP-Academy - Peliitat,0:3,2.1,4.7,2.88,14.12.2016
K-Vantaa - TUTO,5:2,3.02,4.52,2.08,14.12.2016
LeKi - Hermes,3:5,1.95,5.1,3.25,14.12.2016
RoKi - Hokki,2:3,2.88,4.47,2.15,14.12.2016
Hokki - JYP-Academy,2:3 ET,2.09,4.5,3.1,10.12.2016
KeuPa - K-Vantaa,6:2,2.43,4.5,2.6,10.12.2016
LeKi - IPK,5:2,1.8,5.28,3.75,10.12.2016
SaPKo - Espoo United,6:1,1.57,5.93,4.86,10.12.2016
Hermes - K-Vantaa,4:3 pen.,2.25,4.55,2.76,09.12.2016
Jokipojat - Hokki,2:3 ET,1.87,4.66,3.47,09.12.2016
Peliitat - KeuPa,2:4,2.25,4.81,2.72,09.12.2016
TUTO - IPK,2:0,1.42,6.94,5.75,09.12.2016
Hermes - LeKi,1:3,1.98,5.02,3.2,07.12.2016
K-Vantaa - Espoo United,5:2,2.25,4.6,2.75,07.12.2016
Peliitat - TUTO,1:3,3.25,4.84,2,07.12.2016
RoKi - Jokipojat,2:4,3.1,4.82,2,07.12.2016
SaPKo - JYP-Academy,6:1,1.7,5.01,4.25,07.12.2016
Espoo United - Hokki,2:6,2.05,4.79,3.35,04.12.2016
IPK - Hermes,4:3 pen.,2.35,4.78,2.51,03.12.2016
Jokipojat - KeuPa,6:7,1.73,5.25,4.07,03.12.2016
K-Vantaa - Peliitat,5:3,1.96,4.93,3.25,03.12.2016
TUTO - Hokki,5:4 pen.,1.65,5.47,4.52,03.12.2016
Hermes - Jokipojat,1:2 ET,2.33,4.58,2.6,02.12.2016
JYP-Academy - K-Vantaa,5:4 ET,2.23,4.4,2.75,02.12.2016
KeuPa - RoKi,2:1,1.88,4.93,3.4,02.12.2016
LeKi - Espoo United,4:2,2.4,4.57,2.62,02.12.2016
SaPKo - Peliitat,8:3,1.67,5.21,4.4,02.12.2016
Espoo United - Hermes,6:3,2.15,4.62,3.04,30.11.2016
Jokipojat - IPK,2:5,1.52,5.63,5.45,30.11.2016
Peliitat - LeKi,1:5,2,4.94,3.25,30.11.2016
RoKi - JYP-Academy,3:4,2.25,4.65,2.83,30.11.2016
TUTO - SaPKo,5:2,1.9,4.78,3.51,30.11.2016
Hokki - JYP-Academy,0:1 ET,1.8,4.64,3.75,26.11.2016
Jokipojat - Espoo United,4:1,1.95,4.57,3.42,26.11.2016
KeuPa - Peliitat,3:4,1.95,5,3.35,26.11.2016
K-Vantaa - Hermes,4:3,2.1,4.55,3.05,26.11.2016
LeKi - RoKi,7:1,1.9,5.07,3.3,26.11.2016
SaPKo - TUTO,1:2,2.15,4.5,2.94,26.11.2016
Hermes - Peliitat,0:6,1.65,5.49,4.6,25.11.2016
IPK - Espoo United,0:3,2.86,4.78,2.17,25.11.2016
JYP-Academy - Jokipojat,4:2,2.7,4.45,2.26,25.11.2016
TUTO - RoKi,9:2,1.51,5.66,5.2,25.11.2016
Hermes - Hokki,0:1 ET,2,4.66,3.2,23.11.2016
JYP-Academy - IPK,0:2,1.76,5.25,3.85,23.11.2016
K-Vantaa - KeuPa,3:1,2.05,4.6,3.15,23.11.2016
LeKi - SaPKo,5:1,3.4,5.5,1.87,23.11.2016
Hermes - RoKi,6:4,1.65,5.5,4.25,19.11.2016
IPK - Hokki,5:2,3.67,5.14,1.8,19.11.2016
Jokipojat - SaPKo,3:4,2.16,4.4,2.86,19.11.2016
KeuPa - JYP-Academy,4:1,2.16,4.7,2.8,19.11.2016
Peliitat - LeKi,4:5,1.9,5,3.6,19.11.2016
TUTO - K-Vantaa,1:2,1.75,5,3.95,19.11.2016
Espoo United - TUTO,3:2 pen.,2.64,4.46,2.3,18.11.2016
Hokki - IPK,3:2,1.47,6.11,5.3,18.11.2016
JYP-Academy - KeuPa,1:4,2.11,4.58,3,18.11.2016
LeKi - Peliitat,3:6,2.18,4.59,2.93,18.11.2016
RoKi - Hermes,2:3,2.63,4.65,2.26,18.11.2016
SaPKo - Jokipojat,4:0,2.1,4.5,3,18.11.2016
K-Vantaa - Espoo United,4:3 pen.,2.37,4.4,2.6,16.11.2016
Peliitat - TUTO,3:4 ET,2.7,4.5,2.27,16.11.2016
Espoo United - SaPKo,2:0,2.4,4.61,2.65,12.11.2016
Hokki - K-Vantaa,1:2,1.8,4.7,3.79,12.11.2016
IPK - JYP-Academy,2:4,2.45,4.85,2.45,12.11.2016
Jokipojat - Peliitat,4:2,1.67,5.17,4.4,12.11.2016
KeuPa - TUTO,5:4 ET,4,4.9,1.8,12.11.2016
LeKi - Hermes,4:3 ET,2.67,4.65,2.3,12.11.2016
JYP-Academy - Hokki,3:2 pen.,2.58,4.5,2.4,11.11.2016
Peliitat - IPK,5:2,1.83,5.03,3.6,11.11.2016
RoKi - K-Vantaa,5:4 pen.,2.33,4.5,2.75,11.11.2016
SaPKo - LeKi,4:1,1.57,5.9,4.6,11.11.2016
TUTO - Hermes,2:3,1.7,5.11,3.9,11.11.2016
Jokipojat - KeuPa,1:2,1.46,6.22,5.8,09.11.2016
LeKi - Espoo United,0:2,2.29,4.8,2.55,09.11.2016
RoKi - IPK,5:4 ET,1.79,5.25,3.5,09.11.2016
Espoo United - JYP-Academy,6:4,2.25,5,2.84,29.10.2016
IPK - Hermes,1:2,3.65,5.49,1.8,29.10.2016
K-Vantaa - Jokipojat,1:4,2.72,4.38,2.25,29.10.2016
RoKi - LeKi,5:2,2.3,4.63,2.8,29.10.2016
SaPKo - Hokki,3:0,1.72,5.45,3.96,29.10.2016
Espoo United - Jokipojat,2:4,2.46,4.67,2.39,28.10.2016
Hermes - TUTO,2:4,2.45,4.79,2.4,28.10.2016
Hokki - LeKi,5:2,1.79,5.2,3.6,28.10.2016
KeuPa - IPK,1:4,1.7,5.99,3.9,28.10.2016
Peliitat - K-Vantaa,3:2 pen.,2.1,4.64,2.98,28.10.2016
IPK - RoKi,3:6,2.34,4.94,2.7,26.10.2016
JYP-Academy - SaPKo,2:3 ET,2.54,4.51,2.36,26.10.2016
K-Vantaa - Espoo United,4:3 pen.,2.47,4.35,2.7,26.10.2016
LeKi - Peliitat,2:6,2.05,4.62,2.98,26.10.2016
TUTO - KeuPa,4:0,1.42,6.39,6,26.10.2016
Espoo United - KeuPa,7:0,1.72,5.69,4.21,22.10.2016
Jokipojat - TUTO,2:1,2.26,4.44,2.68,22.10.2016
JYP-Academy - Hermes,2:3 pen.,2.25,4.72,2.75,22.10.2016
Peliitat - Hokki,2:1,2.45,4.4,2.6,22.10.2016
RoKi - SaPKo,3:4,2.9,4.6,2.15,22.10.2016
Hermes - SaPKo,7:1,2.46,4.75,2.55,21.10.2016
IPK - TUTO,1:6,3.55,5.09,1.8,21.10.2016
KeuPa - LeKi,6:8,2.26,4.45,2.8,21.10.2016
K-Vantaa - Hokki,3:2 ET,2.64,4.3,2.45,21.10.2016
Hokki - RoKi,2:1 pen.,1.49,5.75,5.79,19.10.2016
Jokipojat - IPK,0:2,1.56,6,5.25,19.10.2016
K-Vantaa - LeKi,5:2,2.15,4.33,2.92,19.10.2016
Peliitat - JYP-Academy,3:0,2.18,4.62,2.75,19.10.2016
SaPKo - Espoo United,5:1,1.73,5.04,3.95,19.10.2016
Espoo United - Peliitat,1:2,1.74,5.18,3.75,15.10.2016
