Arizona Coyotes - Calgary Flames,2:4,2.93,3.87,2.12,20.12.2016
Carolina Hurricanes - Detroit Red Wings,POSTP.,2.07,3.85,3.02,20.12.2016
Philadelphia Flyers - Nashville Predators,1:2 pen.,2.39,3.88,2.51,20.12.2016
St. Louis Blues - Edmonton Oilers,2:3 ET,2.16,3.88,2.83,20.12.2016
Toronto Maple Leafs - Anaheim Ducks,2:3,2.26,3.89,2.67,20.12.2016
Chicago Blackhawks - San Jose Sharks,4:1,2.64,3.82,2.31,19.12.2016
New York Islanders - Ottawa Senators,2:6,2.11,3.9,2.92,19.12.2016
New York Rangers - New Jersey Devils,3:2 pen.,1.85,3.95,3.58,19.12.2016
Boston Bruins - Los Angeles Kings,1:0,2.17,3.78,2.87,18.12.2016
Carolina Hurricanes - Buffalo Sabres,2:1 pen.,2.09,3.84,2.97,18.12.2016
Detroit Red Wings - Anaheim Ducks,6:4,2.71,3.81,2.26,18.12.2016
Edmonton Oilers - Tampa Bay Lightning,3:2 pen.,1.91,3.99,3.28,18.12.2016
Nashville Predators - New York Rangers,1:2 pen.,2.33,3.82,2.62,18.12.2016
Ottawa Senators - New Jersey Devils,3:1,2.24,3.8,2.76,18.12.2016
St. Louis Blues - Chicago Blackhawks,4:6,2.18,3.77,2.86,18.12.2016
Toronto Maple Leafs - Pittsburgh Penguins,2:1 ET,2.53,3.94,2.36,18.12.2016
Vancouver Canucks - Columbus Blue Jackets,3:4 ET,3.26,3.9,1.96,18.12.2016
Washington Capitals - Montreal Canadiens,1:2,2.13,3.8,2.93,18.12.2016
Winnipeg Jets - Colorado Avalanche,4:1,1.91,3.99,3.33,18.12.2016
Buffalo Sabres - New York Islanders,3:2 ET,2.04,3.9,3.04,17.12.2016
Calgary Flames - Columbus Blue Jackets,1:4,2.65,3.81,2.3,17.12.2016
Carolina Hurricanes - Washington Capitals,3:4 pen.,2.58,3.78,2.36,17.12.2016
Colorado Avalanche - Florida Panthers,1:3,2.42,3.8,2.53,17.12.2016
Dallas Stars - Philadelphia Flyers,3:1,2.2,3.97,2.73,17.12.2016
Minnesota Wild - Arizona Coyotes,4:1,1.67,4.21,4.24,17.12.2016
Montreal Canadiens - San Jose Sharks,2:4,2.15,3.74,2.93,17.12.2016
Pittsburgh Penguins - Los Angeles Kings,0:1 ET,1.89,3.99,3.42,17.12.2016
Vancouver Canucks - Tampa Bay Lightning,4:2,2.67,3.83,2.28,17.12.2016
Boston Bruins - Anaheim Ducks,3:4,2.44,3.82,2.49,16.12.2016
Dallas Stars - New York Rangers,0:2,2.59,3.84,2.33,16.12.2016
Detroit Red Wings - Los Angeles Kings,1:4,2.69,3.74,2.31,16.12.2016
Nashville Predators - Minnesota Wild,2:5,2.22,3.78,2.79,16.12.2016
New York Islanders - Chicago Blackhawks,4:5,2.61,3.79,2.34,16.12.2016
St. Louis Blues - New Jersey Devils,5:2,1.85,3.93,3.58,16.12.2016
Toronto Maple Leafs - Arizona Coyotes,2:3 pen.,1.69,4.16,4.11,16.12.2016
Winnipeg Jets - Florida Panthers,4:3 pen.,2.36,3.78,2.58,16.12.2016
Calgary Flames - Tampa Bay Lightning,3:6,2.27,3.88,2.66,15.12.2016
Colorado Avalanche - Philadelphia Flyers,3:4,2.68,3.91,2.25,15.12.2016
Ottawa Senators - San Jose Sharks,3:4 pen.,2.59,3.78,2.36,15.12.2016
Pittsburgh Penguins - Boston Bruins,4:3 ET,1.95,3.95,3.26,15.12.2016
Buffalo Sabres - Los Angeles Kings,6:3,2.71,3.75,2.28,14.12.2016
Carolina Hurricanes - Vancouver Canucks,8:6,1.84,3.94,3.65,14.12.2016
Dallas Stars - Anaheim Ducks,6:2,2.44,3.82,2.47,14.12.2016
Detroit Red Wings - Arizona Coyotes,1:4,1.74,4.05,3.9,14.12.2016
Edmonton Oilers - Columbus Blue Jackets,1:3,2.41,3.83,2.51,14.12.2016
Minnesota Wild - Florida Panthers,5:1,2.1,3.76,3.02,14.12.2016
Nashville Predators - St. Louis Blues,6:3,2.18,3.76,2.87,14.12.2016
New York Islanders - Washington Capitals,2:4,2.87,3.8,2.17,14.12.2016
New York Rangers - Chicago Blackhawks,1:2,2.19,3.77,2.83,14.12.2016
Toronto Maple Leafs - San Jose Sharks,2:3 pen.,2.51,3.83,2.41,14.12.2016
Montreal Canadiens - Boston Bruins,1:2 ET,2.11,3.77,3,13.12.2016
Pittsburgh Penguins - Arizona Coyotes,7:0,1.51,4.65,5.17,13.12.2016
Chicago Blackhawks - Dallas Stars,3:1,2.16,3.89,2.85,12.12.2016
Edmonton Oilers - Winnipeg Jets,3:2,1.96,3.92,3.24,12.12.2016
Minnesota Wild - St. Louis Blues,3:1,2.29,3.68,2.74,12.12.2016
New York Rangers - New Jersey Devils,5:0,2.01,3.81,3.2,12.12.2016
Toronto Maple Leafs - Colorado Avalanche,1:3,1.9,4.02,3.33,12.12.2016
Anaheim Ducks - Ottawa Senators,5:1,1.81,4.01,3.7,11.12.2016
Arizona Coyotes - Nashville Predators,4:1,3.31,3.97,1.93,11.12.2016
Boston Bruins - Toronto Maple Leafs,1:4,2.07,3.87,2.98,11.12.2016
Calgary Flames - Winnipeg Jets,6:2,2.28,3.83,2.67,11.12.2016
Columbus Blue Jackets - New York Islanders,6:2,2.03,3.89,3.07,11.12.2016
Detroit Red Wings - Philadelphia Flyers,0:1 ET,2.24,3.84,2.71,11.12.2016
Florida Panthers - Vancouver Canucks,4:2,1.82,3.95,3.71,11.12.2016
Montreal Canadiens - Colorado Avalanche,10:1,1.77,4.02,3.87,11.12.2016
San Jose Sharks - Carolina Hurricanes,4:3,1.88,3.92,3.48,11.12.2016
Tampa Bay Lightning - Pittsburgh Penguins,3:4,2.77,3.88,2.2,11.12.2016
Washington Capitals - Vancouver Canucks,3:0,1.58,4.3,4.82,11.12.2016
Anaheim Ducks - San Jose Sharks,3:2,2.6,3.7,2.38,10.12.2016
