Ilves - IFK Helsinki,3:2 ET,2.67,3.82,2.27,17.12.2016
Ilves - Tappara,3:4 ET,2.86,3.86,2.13,16.12.2016
Jyvaskyla - Assat,0:3,1.87,3.96,3.48,16.12.2016
KalPa - Pelicans,6:4,2.04,3.92,3.03,16.12.2016
Karpat - Jukurit,2:1,1.9,3.88,3.44,16.12.2016
Lukko - Hameenlinna,7:8 ET,2.16,3.89,2.8,16.12.2016
SaiPa - KooKoo,1:2,1.98,3.99,3.13,16.12.2016
TPS Turku - Vaasan Sport,3:1,1.65,4.33,4.21,16.12.2016
Assat - TPS Turku,5:6 pen.,2.64,3.82,2.3,14.12.2016
Hameenlinna - KalPa,3:4 pen.,2.16,3.8,2.87,14.12.2016
IFK Helsinki - Vaasan Sport,1:0 pen.,1.77,4.07,3.75,14.12.2016
Jukurit - SaiPa,1:3,2.14,3.9,2.83,14.12.2016
KooKoo - Lukko,4:0,2.34,3.9,2.55,14.12.2016
Pelicans - Jyvaskyla,3:1,2.27,3.83,2.68,14.12.2016
Assat - Lukko,3:1,2.08,3.98,2.89,10.12.2016
Jyvaskyla - Karpat,3:0,2.03,3.89,3.06,10.12.2016
Pelicans - KooKoo,3:4,1.79,4.14,3.65,10.12.2016
Tappara - KalPa,3:2,1.94,4,3.24,10.12.2016
TPS Turku - Ilves,2:1,1.67,4.28,4.12,10.12.2016
Vaasan Sport - SaiPa,2:3 pen.,1.95,4.09,3.14,10.12.2016
IFK Helsinki - Lukko,0:4,1.85,4.03,3.48,09.12.2016
Karpat - SaiPa,3:1,1.96,3.99,3.18,09.12.2016
KooKoo - Jyvaskyla,5:2,2.52,3.83,2.4,09.12.2016
Hameenlinna - Assat,5:1,1.85,3.95,3.52,08.12.2016
KalPa - Ilves,0:4,1.63,4.46,4.21,08.12.2016
Tappara - Pelicans,4:1,1.9,4.04,3.31,08.12.2016
TPS Turku - Jukurit,4:2,1.7,4.16,4.07,08.12.2016
Assat - Tappara,1:2 ET,2.58,3.89,2.31,07.12.2016
Ilves - IFK Helsinki,1:4,2.64,3.9,2.26,07.12.2016
Jyvaskyla - Vaasan Sport,3:4 ET,1.94,4.03,3.2,07.12.2016
Jukurit - Karpat,1:6,2.2,3.76,2.79,05.12.2016
Vaasan Sport - Hameenlinna,1:2,2.21,3.89,2.73,05.12.2016
Jyvaskyla - Jukurit,1:2,1.78,4.03,3.79,03.12.2016
KalPa - TPS Turku,4:3,2.28,3.83,2.66,03.12.2016
Karpat - Ilves,2:3,1.97,3.88,3.23,03.12.2016
KooKoo - Tappara,3:4 pen.,2.86,3.93,2.13,03.12.2016
Lukko - Vaasan Sport,4:1,2.13,4.01,2.81,03.12.2016
Pelicans - IFK Helsinki,4:3 pen.,2.16,3.86,2.84,03.12.2016
SaiPa - Assat,2:3 ET,2.12,3.89,2.87,03.12.2016
IFK Helsinki - Karpat,2:1,1.96,3.85,3.29,02.12.2016
Jukurit - TPS Turku,2:3 pen.,2.82,3.87,2.16,02.12.2016
Assat - Pelicans,2:0,2.12,3.89,2.87,01.12.2016
Hameenlinna - KooKoo,2:0,1.78,4.07,3.71,01.12.2016
Ilves - Lukko,0:1,2.32,3.96,2.54,01.12.2016
KalPa - SaiPa,4:2,1.93,4.02,3.24,01.12.2016
Vaasan Sport - Jyvaskyla,2:0,2.32,3.91,2.57,01.12.2016
IFK Helsinki - Hameenlinna,3:2,2.2,3.82,2.8,30.11.2016
KooKoo - KalPa,1:2,2.46,3.76,2.47,30.11.2016
Lukko - Jyvaskyla,2:3 pen.,2.41,3.87,2.47,29.11.2016
Pelicans - Karpat,1:2 ET,2.2,3.82,2.79,29.11.2016
SaiPa - IFK Helsinki,0:2,2.57,3.91,2.32,29.11.2016
Tappara - Jukurit,3:4,1.78,4.1,3.72,29.11.2016
TPS Turku - Assat,3:1,1.74,4.15,3.9,29.11.2016
Vaasan Sport - Ilves,2:6,1.8,4.09,3.65,29.11.2016
KalPa - Jyvaskyla,3:2 ET,2.14,3.82,2.87,26.11.2016
Karpat - Vaasan Sport,0:1,1.96,3.95,3.21,26.11.2016
Lukko - Hameenlinna,2:3 ET,2.15,3.95,2.79,26.11.2016
Pelicans - Ilves,2:1,1.86,4.04,3.45,26.11.2016
SaiPa - Jukurit,3:2,2.21,3.91,2.73,26.11.2016
TPS Turku - Tappara,1:2,1.89,4.08,3.27,26.11.2016
IFK Helsinki - KooKoo,0:1 ET,1.64,4.4,4.15,25.11.2016
Tappara - SaiPa,5:4,1.69,4.3,3.96,25.11.2016
Assat - Karpat,0:3,2.1,3.85,2.91,24.11.2016
Jukurit - IFK Helsinki,1:4,2.43,3.82,2.49,24.11.2016
Jyvaskyla - Hameenlinna,2:1 pen.,2.01,3.95,3.09,24.11.2016
