Assat - TPS Turku,1:2 ET,2.6,4.31,2.47,10.03.2016
Hameenlinna - Vaasan Sport,2:4,2.4,4.2,2.83,10.03.2016
Ilves - KooKoo,1:3,2.17,4.2,3,10.03.2016
Jyvaskyla - Espoo,3:2 pen.,1.41,6.45,7,10.03.2016
KalPa - Lukko,3:2,2.2,4.1,3.06,10.03.2016
Pelicans - Karpat,1:4,2.75,4.2,2.48,10.03.2016
SaiPa - IFK Helsinki,1:3,2.42,4.39,2.6,10.03.2016
IFK Helsinki - Assat,7:0,1.58,5,5.5,08.03.2016
Karpat - Jyvaskyla,2:4,1.8,4.44,4.15,08.03.2016
Lukko - Pelicans,6:3,1.75,4.58,4.2,08.03.2016
Tappara - KalPa,0:1,1.75,4.5,4.7,08.03.2016
TPS Turku - Hameenlinna,1:5,1.4,6,7.1,08.03.2016
Vaasan Sport - Ilves,4:2,1.53,5.09,5.5,08.03.2016
Espoo - SaiPa,4:2,7.75,6.5,1.36,07.03.2016
Assat - Ilves,6:2,1.65,4.9,4.8,05.03.2016
KalPa - KooKoo,0:1,2.05,4.1,3.5,05.03.2016
Karpat - TPS Turku,8:2,1.71,4.6,4.55,05.03.2016
Lukko - IFK Helsinki,4:1,2.36,4.23,2.89,05.03.2016
Pelicans - Hameenlinna,3:2,1.45,5.75,6.28,05.03.2016
Tappara - SaiPa,4:3 pen.,2.19,4.16,3.05,05.03.2016
Vaasan Sport - Espoo,3:0,1.32,6.5,8,05.03.2016
Hameenlinna - Tappara,0:2,6.05,5.29,1.53,04.03.2016
IFK Helsinki - Karpat,3:1,2.39,4.01,2.69,04.03.2016
Ilves - Pelicans,1:5,2.33,4.2,2.8,04.03.2016
Jyvaskyla - TPS Turku,6:7 ET,2.11,4.18,3.17,04.03.2016
KooKoo - Assat,0:1,2.35,4.01,2.75,03.03.2016
SaiPa - Lukko,4:3,2.24,4.13,3,03.03.2016
Hameenlinna - Espoo,2:1,1.95,4.3,4.2,02.03.2016
IFK Helsinki - Vaasan Sport,4:1,1.68,4.75,4.5,02.03.2016
Ilves - KalPa,4:3 ET,2.4,4,2.86,02.03.2016
Karpat - Tappara,4:0,1.85,4.25,3.95,02.03.2016
Pelicans - Jyvaskyla,2:1,3.15,4.34,2.15,02.03.2016
Espoo - KalPa,2:1 ET,6.49,5.25,1.52,01.03.2016
KooKoo - Lukko,2:1,3.15,4.33,2.08,01.03.2016
SaiPa - Assat,5:4 pen.,1.7,4.77,4.45,01.03.2016
Assat - Hameenlinna,4:7,1.6,4.92,5.16,27.02.2016
Jyvaskyla - SaiPa,3:2 pen.,2.36,4.21,2.85,27.02.2016
KalPa - Ilves,3:2,1.75,4.35,4.26,27.02.2016
Lukko - Karpat,1:0,2.64,4.2,2.6,27.02.2016
Pelicans - TPS Turku,2:1,2.75,4.2,2.4,27.02.2016
Tappara - KooKoo,2:0,1.62,4.88,5,27.02.2016
IFK Helsinki - Pelicans,3:1,1.64,5,4.9,26.02.2016
Ilves - Tappara,2:4,4.33,4.5,1.8,26.02.2016
TPS Turku - Karpat,0:1 ET,2.98,4.1,2.2,26.02.2016
Vaasan Sport - KalPa,4:0,2.25,4,3.05,25.02.2016
Assat - Tappara,3:5,2.8,4.11,2.38,24.02.2016
Hameenlinna - Ilves,3:1,2.73,4.03,2.45,24.02.2016
KooKoo - Jyvaskyla,3:2 pen.,3.35,4.25,2.05,24.02.2016
